,return_1m,turn_1m,std_1m,std_FF3factor_1m
2016-04-29,-0.09084253354708642,-0.09969963882180168,-0.11930299012102605,-0.138024993881211
2016-05-31,-0.04019128652673094,-0.09309186507991003,-0.04578665240084285,-0.10715669248550827
2016-06-30,-0.17555561403552797,-0.2261971735136504,-0.3347362211573389,-0.2820711425912555
2016-07-29,-0.09300760054811834,-0.1136361123849286,-0.09614333099576003,-0.14708235685848753
2016-08-31,0.06540415358987539,-0.2400111890230031,-0.15193886911663265,-0.10588027865486847
2016-09-30,-0.14280587842357492,-0.05123678881592263,-0.06789275083858849,-0.11546640984676998
2016-10-31,-0.03686401543177501,-0.058897570065010306,-0.18023992170008638,-0.18465156567852004
2016-11-30,-0.02117018059926004,-0.14271196684176868,-0.053148099617182046,-0.018979383285568134
2016-12-30,-0.02594555050627622,-0.09055547834659622,-0.14152484000939272,-0.08307413900286614
2017-01-26,-0.09587132217526548,0.03446287777192893,-0.026921410839971148,-0.08114624906226153
2017-02-28,0.0014996619551368774,-0.11949545913408222,-0.09326123394415374,-0.0864746712129606
2017-03-31,0.14745013437360519,-0.11233418403112182,-0.05146097560741981,-0.024508707726421927
2017-04-28,0.18110091023349162,-0.08054595557961093,-0.09598774933395052,-0.05451879796582345
2017-05-31,-0.1811346341252626,-0.0070486486291340385,-0.041219442489926233,-0.07741294020459345
2017-06-30,0.10145527076797965,-0.05863588790117443,-0.16242726343356442,-0.1306096197675512
2017-07-31,-0.280459476971715,-0.08370304288669374,-0.006982537346770119,-0.13910796172971215
2017-08-31,-0.0029462304889057217,-0.13635936646716715,-0.11409494901864471,-0.10753000149136416
2017-09-29,-0.06638420976739946,-0.22647693573289607,-0.19698776003034874,-0.17257085524740393
2017-10-31,0.06916947610675625,-0.09747477307328732,-0.14019180930787511,-0.07270377648219148
2017-11-30,0.007104107734799083,0.00863618936838468,0.0247217199996492,0.025359235766305475
2017-12-29,-0.06394040450422325,-0.037756773496364256,-0.13345154539956622,-0.13521484647713586
2018-01-31,-0.07617412567375531,0.02957074149280381,0.06292134749009534,0.08184974503576328
2018-02-28,-0.1921739093251724,-0.07602801493076987,0.08124843969563643,-0.02587473972128739
2018-03-30,-0.06418295856788171,-0.17363713911147066,-0.1949712386402774,-0.20570652784620044
2018-04-27,0.0008536728011792574,-0.07758985502342683,-0.07533765415299688,-0.0815065547396821
2018-05-31,-0.02685761842392572,0.04575242500198284,-0.009478454074108859,-0.016329114676427777
2018-06-29,-0.15674498086354588,-0.13543407879835376,-0.08880694795209138,-0.1507333250605897
2018-07-31,0.14500556186907046,-0.1670524686166729,-0.198490560623424,-0.1611452186035106
2018-08-31,-0.053762833738624664,0.04790536936498263,0.01319832304819516,0.009616375683793222
2018-09-28,0.026243618988640877,-0.11414170038552232,-0.13607224847692648,-0.10555226768408706
2018-10-31,-0.19790945414118347,-0.19403571584351795,-0.04716966300207792,-0.15374888052846053
2018-11-30,-0.1354873431059178,-0.16260772183990893,-0.20876696014694496,-0.1675222545432221
2018-12-28,0.013222809171185314,-0.18139647953171273,-0.16216766097889967,-0.15319019895146482
2019-01-31,-0.3712627126127079,0.25824802026173427,0.3593762705940282,0.23863451605750235
2019-02-28,0.0024120603534008933,-0.13590831885231844,-0.07783806217521606,-0.08176451347006117
2019-03-29,-0.12836147311800622,-0.20090378819394444,-0.21495669992585598,-0.19799120373594908
2019-04-30,-0.08332295105153274,-0.11997685312261722,-0.13734055140927734,-0.15713327240674235
2019-05-31,-0.1331347235543058,-0.15843316499833998,-0.1877476358766438,-0.19508729388063312
2019-06-28,-0.008734269505458029,-0.19710237509319034,-0.225280384576054,-0.2110254233984714
2019-07-31,0.0503653229308465,-0.04030110458507699,-0.014273338339317718,0.015193331000449093
2019-08-30,-0.10517680055300252,-0.1522271376279706,-0.10559856210858819,-0.11826507563940955
2019-09-30,-0.00949201637640482,-0.11686785644055353,-0.11253804916533101,-0.1159742812984573
2019-10-31,-0.06145723371629572,-0.06932670244160292,-0.07070353665079425,-0.03692468144523879
2019-11-29,-0.06462711725779498,-0.032027452848680214,-0.015470065491091329,-0.03977342604431501
2019-12-31,0.030488177609365653,-0.08760227769878617,-0.053497431086543396,-0.0458085093496681
2020-01-23,0.14582821220241088,0.0640640416504511,0.1335435342017495,0.12623428649860147
2020-02-28,-0.18651146407900432,-0.27779174432412457,-0.3198984734417563,-0.3128387786527022
2020-03-31,-0.12884471694187416,-0.06962844634230114,0.011744834105598985,-0.05052511502814021
2020-04-30,0.02603107931950675,-0.18890908847863325,-0.1141240387481159,-0.12524021522503065
2020-05-29,-0.02421070352551062,0.007628843595357539,0.03476549899279054,-0.0022174802126563933
2020-06-30,-0.04399745803603893,-0.04491876758188379,-0.09506706280959344,-0.09657938114742223
2020-07-31,-0.1033248069776706,-0.1676259045519678,-0.22641335614013453,-0.2116681666578939
2020-08-31,0.02803901213540789,-0.08332932502314987,-0.08475573064839437,-0.08343796893326837
2020-09-30,0.04530933426149693,0.08253268637165329,0.09743340548518468,0.06753310846806633
2020-10-30,-0.13644837157190706,-0.1359730537860068,-0.18016929144362112,-0.17779271009045147
2020-11-30,0.029699890089354017,-0.06300293233127457,0.016772339667328783,0.015717568488890263
2020-12-31,0.07523334837031101,-0.15729770618760577,-0.09849496289241617,-0.07835635512009102
2021-01-29,-0.19365585259273033,-0.09393131062684282,-0.13403634056210834,-0.1451383893054841
