,return_1m,turn_1m,std_1m,std_FF3factor_1m
2013-02-28,-0.03465917618757136,-0.034657180412588404,-0.034655307015468415,-0.03465269634967768
2013-03-29,-0.029338896691747673,-0.029338896691747673,-0.029338896691747673,-0.029338896691747673
2013-04-26,0.1454483611966233,0.14545328979056055,0.14546135439347485,0.14545900832739472
2013-05-31,-0.15654329535497236,-0.15654964629544801,-0.1565412537776562,-0.15654012744366935
2013-06-28,0.07117580871899913,0.0711705067890769,0.0711804382198577,0.0711821661425736
2013-07-31,0.08481498349618152,0.08481489551089322,0.08481129343534156,0.08480989776744406
2013-08-30,0.057502780824135805,0.05749584634937388,0.057500740767131873,0.05750222689480614
2013-09-30,-0.025033908303531333,-0.02504292385830848,-0.025042319082317778,-0.02504395895732229
2013-10-31,0.08777524955220369,0.087772240021711,0.08777697776675383,0.0877796788166701
2013-11-29,-0.033884188493352244,-0.033892395052846566,-0.03389023745575144,-0.03389295235260635
2013-12-31,0.0200455360726505,0.020039868280644423,0.02005377479499375,0.020050684395393155
2014-01-30,0.03422905107270041,0.03422965126362244,0.0342258873386104,0.03422577981309834
2014-02-28,-0.024147597302429675,-0.024160503634894893,-0.02416770980974399,-0.024166639474701053
2014-03-31,-0.013173230571249861,-0.013173230571249857,-0.013173230571249857,-0.013173230571249861
2014-04-30,0.029279779348965262,0.02927977934896526,0.029279779348965262,0.029279779348965262
2014-05-30,0.04741633180128381,0.04740837530713564,0.04741482411722614,0.047416745997590895
2014-06-30,0.07654428193275316,0.07654902320204654,0.07653670770380219,0.07653382849865888
2014-07-31,0.055720950801853596,0.055719104584729305,0.05572217697742632,0.05572225158618414
2014-08-29,0.13778389008702274,0.13778459910205632,0.13777577502987942,0.13777314990503556
2014-09-30,0.015414040621751645,0.015414040621751645,0.015414040621751644,0.015414040621751645
2014-10-31,0.05857641562069675,0.058582077277132535,0.05857402913560452,0.058573232300897685
2014-11-28,-0.030596767886437105,-0.030596767886437105,-0.030596767886437105,-0.030596767886437105
2014-12-31,0.07720766255365308,0.07721530712764942,0.07721946003656613,0.07721869798948329
2015-01-30,0.07751419384160119,0.07750859327598317,0.07750983880018283,0.07751096548630122
2015-02-27,0.2293588873389572,0.2293487886181728,0.2293506621476892,0.2293469622098026
2015-03-31,0.1709531779304479,0.17094939968135786,0.17094635996255061,0.17094540177052003
2015-04-30,0.24118191672474792,0.24118191672474792,0.24118191672474792,0.24118191672474792
2015-05-29,-0.10471649418854256,-0.10471649418854259,-0.10471649418854256,-0.10471649418854259
2015-06-30,-0.18573795138214988,-0.1857390383198126,-0.18573600801368811,-0.18574157185120005
2015-07-31,-0.13873557806273293,-0.13873872173722818,-0.1387397409065704,-0.13874332425573227
2015-08-31,-0.0297247547841026,-0.0297247547841026,-0.0297247547841026,-0.029724754784102598
2015-09-30,0.23494529860592453,0.23495606118894113,0.2349563606846628,0.23495017216036368
